sector_key,Sektor,Basket (n saham),Return Kumulatif,Vol Tahunan (M lot),Sharpe Ratio,MDD,Saham Dipilih
IDXBasic,Basic Materials,4 saham,0.9902832569144007,17006.76311388679,0.8728563912275332,-0.3930031781622753,"ANTM.JK, MDKA.JK"
IDXTechno,Technology,3 saham,0.5511072323605675,327509.0854968553,0.6594516556453865,-0.34044781766040055,—
IDXEnergy,Energy,3 saham,0.2998983341540964,9959.712986163522,0.4389584240824649,-0.25686427385245375,ADRO.JK
IDXTrans,Transportation,2 saham,0.10688913426248625,13420.328811320753,0.2033358004420407,-0.46279643207654986,—
IDXInfra,Infrastructure,3 saham,0.038845704797163316,11476.29633962264,0.007811451417386492,-0.3209098373115685,—
IDXIndust,Industrials,3 saham,-0.09850837411795121,7645.926875471698,-0.23615063294347063,-0.32050893709059974,ASII.JK
IDXCyclic,Consumer Cyc.,3 saham,-0.12396760342935975,10141.639340880502,-0.24222811227603122,-0.3796076602426339,—
IDXNonCyc,Consumer Non-Cyc.,3 saham,-0.13796727912362405,4234.062739622642,-0.4910641645268624,-0.26511798716706675,INDF.JK
IDXFinance,Financials,4 saham,-0.19476008777673992,36510.682613207544,-0.49688206470924706,-0.3388079790743884,BMRI.JK
IDXPropert,Property & RE,3 saham,-0.3848108802328275,7659.149901886793,-0.85991172909305,-0.5435570858865895,—
IDXHealth,Healthcare,3 saham,-0.43182313911482095,7343.06744654088,-1.5405750021615319,-0.4691055983245263,—
